id,number,name
1,1101 ,台泥
2,1102 ,亞泥 
3,1103 ,嘉泥 
4,1104 ,環泥 
5,1108 ,幸福 
6,1109 ,信大 
7,1110 ,東泥 
8,1201 ,味全 
9,1203 ,味王 
10,1210 ,大成 
11,1213 ,大飲 
12,1215 ,卜蜂 
13,1216 ,統一 
14,1217 ,愛之味 
15,1218 ,泰山 
16,1219 ,福壽 
17,1220 ,台榮 
18,1225 ,福懋油 
19,1227 ,佳格 
20,1229 ,聯華 
21,1231 ,聯華食 
22,1232 ,大統益 
23,1233 ,天仁 
24,1234 ,黑松 
25,1235 ,興泰 
26,1236 ,宏亞 
27,1256 ,鮮活果汁-KY 
28,1702 ,南僑 
29,1737 ,臺鹽 
30,1301 ,台塑 
31,1303 ,南亞 
32,1304 ,台聚 
33,1305 ,華夏 
34,1307 ,三芳 
35,1308 ,亞聚 
36,1309 ,台達化 
37,1310 ,台苯 
38,1312 ,國喬 
39,1313 ,聯成 
40,1314 ,中石化 
41,1315 ,達新 
42,1319 ,東陽 
43,1321 ,大洋 
44,1323 ,永裕 
45,1324 ,地球 
46,1325 ,恆大 
47,1326 ,台化 
48,1337 ,再生-KY 
49,1339 ,昭輝 
50,1340 ,勝悅-KY 
51,1715 ,萬洲 
52,4306 ,炎洲 
53,1402 ,遠東新 
54,1409 ,新纖 
55,1410 ,南染 
56,1413 ,宏洲 
57,1414 ,東和 
58,1416 ,廣豐 
59,1417 ,嘉裕 
60,1418 ,東華 
61,1419 ,新紡 
62,1423 ,利華 
63,1432 ,大魯閣 
64,1434 ,福懋 
65,1439 ,中和 
66,1440 ,南紡 
67,1441 ,大東 
68,1443 ,立益 
69,1444 ,力麗 
70,1445 ,大宇 
71,1446 ,宏和 
72,1447 ,力鵬 
73,1449 ,佳和 
74,1451 ,年興 
75,1452 ,宏益 
76,1453 ,大將 
77,1454 ,台富 
78,1455 ,集盛 
79,1456 ,怡華 
80,1457 ,宜進 
81,1459 ,聯發 
82,1460 ,宏遠 
83,1463 ,強盛 
84,1464 ,得力 
85,1465 ,偉全 
86,1466 ,聚隆 
87,1467 ,南緯 
88,1468 ,昶和 
89,1469 ,理隆 
90,1470 ,大統染 
91,1472 ,三洋紡 
92,1473 ,台南 
93,1474 ,弘裕 
94,1475 ,本盟 
95,1476 ,儒鴻 
96,1477 ,聚陽 
97,4414 ,如興 
98,4426 ,利勤 
99,1503 ,士電 
100,1504 ,東元 
101,1506 ,正道 
102,1507 ,永大 
103,1512 ,瑞利 
104,1513 ,中興電 
105,1514 ,亞力 
106,1515 ,力山 
107,1517 ,利奇 
108,1519 ,華城 
109,1521 ,大億 
110,1522 ,堤維西 
111,1524 ,耿鼎 
112,1525 ,江申 
113,1526 ,日馳 
114,1527 ,鑽全 
115,1528 ,恩德 
116,1529 ,樂士 
117,1530 ,亞崴 
118,1531 ,高林股 
119,1532 ,勤美 
120,1533 ,車王電 
121,1535 ,中宇 
122,1536 ,和大 
123,1537 ,廣隆 
124,1538 ,正峰新 
125,1539 ,巨庭 
126,1540 ,喬福 
127,1541 ,錩泰 
128,1558 ,伸興 
129,1560 ,中砂 
130,1583 ,程泰 
131,1589 ,永冠-KY 
132,1590 ,亞德客-KY 
133,2049 ,上銀 
134,2228 ,劍麟 
135,2231 ,為升 
136,2371 ,大同 
137,3167 ,大量 
138,4526 ,東台 
139,4532 ,瑞智 
140,6605 ,帝寶 
141,8374 ,羅昇 
142,8996 ,高力 
143,1603 ,華電 
144,1604 ,聲寶 
145,1605 ,華新 
146,1608 ,華榮 
147,1609 ,大亞 
148,1611 ,中電 
149,1612 ,宏泰 
150,1613 ,台一 
151,1614 ,三洋電 
152,1615 ,大山 
153,1616 ,億泰 
154,1617 ,榮星 
155,1618 ,合機 
156,1626 ,艾美特-KY 
157,4930 ,燦星網 
158,1316 ,上曜 
159,1704 ,榮化 
160,1708 ,東鹼 
161,1709 ,和益 
162,1710 ,東聯 
163,1711 ,永光 
164,1712 ,興農 
165,1713 ,國化 
166,1714 ,和桐 
167,1717 ,長興 
168,1718 ,中纖 
169,1721 ,三晃 
170,1722 ,台肥 
171,1723 ,中碳 
172,1724 ,台硝 
173,1725 ,元禎 
174,1726 ,永記 
175,1727 ,中華化 
176,1730 ,花仙子 
177,1732 ,毛寶 
178,1735 ,日勝化 
179,1773 ,勝一 
180,4720 ,德淵 
181,4722 ,國精化 
182,4725 ,信昌化 
183,4733 ,上緯 
184,4755 ,三福化 
185,1701 ,中化 
186,1707 ,葡萄王 
187,1720 ,生達 
188,1729 ,必翔 
189,1731 ,美吾華 
190,1733 ,五鼎 
191,1734 ,杏輝 
192,1736 ,喬山 
193,1762 ,中化生 
194,1783 ,和康生 
195,1786 ,科妍 
196,1789 ,神隆 
197,3164 ,景岳 
198,3705 ,永信 
199,4104 ,佳醫 
200,4106 ,雃博 
201,4108 ,懷特 
202,4119 ,旭富 
203,4133 ,亞諾法 
204,4137 ,麗豐-KY 
205,4141 ,龍燈-KY 
206,4142 ,國光生 
207,4144 ,康聯-KY 
208,4164 ,承業醫 
209,4737 ,華廣 
210,4746 ,台耀 
211,1802 ,台玻 
212,1806 ,冠軍 
213,1809 ,中釉 
214,1810 ,和成 
215,1817 ,凱撒衛 
216,1902 ,台紙 
217,1903 ,士紙 
218,1904 ,正隆 
219,1905 ,華紙 
220,1906 ,寶隆 
221,1907 ,永豐餘 
222,1909 ,榮成 
223,2002 ,中鋼 
224,2006 ,東和鋼鐵 
225,2007 ,燁興 
226,2008 ,高興昌 
227,2009 ,第一銅 
228,2010 ,春源 
229,2012 ,春雨 
230,2013 ,中鋼構 
231,2014 ,中鴻 
232,2015 ,豐興 
233,2017 ,官田鋼 
234,2020 ,美亞 
235,2022 ,聚亨 
236,2023 ,燁輝 
237,2024 ,志聯 
238,2025 ,千興 
239,2027 ,大成鋼 
240,2028 ,威致 
241,2029 ,盛餘 
242,2030 ,彰源 
243,2031 ,新光鋼 
244,2032 ,新鋼 
245,2033 ,佳大 
246,2034 ,允強 
247,2038 ,海光 
248,3004 ,豐達科 
249,5007 ,三星 
250,5538 ,東明-KY 
251,9958 ,世紀鋼 
252,2101 ,南港 
253,2102 ,泰豐 
254,2103 ,台橡 
255,2104 ,中橡 
256,2105 ,正新 
257,2106 ,建大 
258,2107 ,厚生 
259,2108 ,南帝 
260,2109 ,華豐 
261,2114 ,鑫永銓 
262,2115 ,六暉-KY 
263,1338 ,廣華-KY 
264,2201 ,裕隆 
265,2204 ,中華 
266,2206 ,三陽工業 
267,2207 ,和泰車 
268,2227 ,裕日車 
269,1437 ,勤益控 
270,2302 ,麗正 
271,2303 ,聯電 
272,2311 ,日月光 
273,2325 ,矽品 
274,2329 ,華泰 
275,2330 ,台積電 
276,2337 ,旺宏 
277,2338 ,光罩 
278,2342 ,茂矽 
279,2344 ,華邦電 
280,2351 ,順德 
281,2363 ,矽統 
282,2369 ,菱生 
283,2379 ,瑞昱 
284,2388 ,威盛 
285,2401 ,凌陽 
286,2408 ,南亞科 
287,2434 ,統懋 
288,2436 ,偉詮電 
289,2441 ,超豐 
290,2449 ,京元電子 
291,2451 ,創見 
292,2454 ,聯發科 
293,2458 ,義隆 
294,2481 ,強茂 
295,3006 ,晶豪科 
296,3014 ,聯陽 
297,3016 ,嘉晶 
298,3034 ,聯詠 
299,3035 ,智原 
300,3041 ,揚智 
301,3054 ,立萬利 
302,3094 ,聯傑 
303,3189 ,景碩 
304,3257 ,虹冠電 
305,3443 ,創意 
306,3474 ,華亞科 
307,3519 ,綠能 
308,3532 ,台勝科 
309,3536 ,誠創 
310,3545 ,敦泰 
311,3559 ,全智科 
312,3579 ,尚志 
313,3583 ,辛耘 
314,3588 ,通嘉 
315,3686 ,達能 
316,4919 ,新唐 
317,4952 ,凌通 
318,5269 ,祥碩 
319,5285 ,界霖 
320,5305 ,敦南 
321,5471 ,松翰 
322,6202 ,盛群 
323,6239 ,力成 
324,6243 ,迅杰 
325,6257 ,矽格 
326,6271 ,同欣電 
327,6415 ,矽力-KY 
328,8016 ,矽創 
329,8081 ,致新 
330,8110 ,華東 
331,8131 ,福懋科 
332,8150 ,南茂 
333,8261 ,富鼎 
334,8271 ,宇瞻 
335,2301 ,光寶科 
336,2305 ,全友 
337,2324 ,仁寶 
338,2331 ,精英 
339,2352 ,佳世達 
340,2353 ,宏碁 
341,2356 ,英業達 
342,2357 ,華碩 
343,2358 ,廷鑫 
344,2362 ,藍天 
345,2364 ,倫飛 
